GENOTYPE,PLOT,Index
CT27016-62-R-R-R-MPL,1,7
CT27038-54-R-R-R-MPL,2,6
CT27009-50-R-R-R-MPL,3,4
CT27048-72-R-R-R-MPL,4,7
CT27016-70-R-R-R-MPL,5,8
CT27047-109-R-R-R-MPL,6,7
CT26997-84-R-R-R-MPL,7,3
CT26998-97-R-R-R-MPL,8,6
CT27009-33-R-R-R-MPL,9,7
CT27047-107-R-R-R-MPL,10,7
ORYZICA 1,11,6
CT26998-120-R-R-R-MPL,12,7
CT27047-118-R-R-R-MPL,13,7
CT26997-138-R-R-R-MPL,14,3
CT26995-54-R-R-R-MPL,15,7
CT27050-124-R-R-R-MPL,16,5
CT26987-169-R-R-R-MPL,17,7
CT26995-87-R-R-R-MPL,18,7
CT27017-39-R-R-R-MPL,19,6
CT26997-91-R-R-R-MPL,20,2
CT27047-61-R-R-R-MPL,21,7
CT27038-151-R-R-R-MPL,22,4
CT27035-65-R-R-R-MPL,23,5
CT27057-32-R-R-R-MPL,24,6
CT26989-101-R-R-R-MPL,25,6
CT26987-154-R-R-R-MPL,26,6
CT27017-46-R-R-R-MPL,27,3
CT27020-70-R-R-R-MPL,28,6
CT27015-105-R-R-R-MPL,29,6
CT26987-191-R-R-R-MPL,30,7
CT27047-67-R-R-R-MPL,31,6
CT27015-120-R-R-R-MPL,32,6
CT27035-75-R-R-R-MPL,33,6
CT27015-109-R-R-R-MPL,34,6
CT27047-145-R-R-R-MPL,35,6
FEDEARROZ 2000,36,4
CT27057-51-R-R-R-MPL,37,6
CT27020-100-R-R-R-MPL,38,6
CT27057-48-R-R-R-MPL,39,7
CT26989-104-R-R-R-MPL,40,4
CT26991-57-R-R-R-MPL,41,5
CT27047-73-R-R-R-MPL,42,6
CT26989-44-R-R-R-MPL,43,6
CT27057-60-R-R-R-MPL,44,4
CT27017-42-R-R-R-MPL,45,6
CT26987-48-R-R-R-MPL,46,6
CT26995-69-R-R-R-MPL,47,7
CT27048-63-R-R-R-MPL,48,3
CT27009-72-R-R-R-MPL,49,4
CT27050-61-R-R-R-MPL,50,5
CT27031-33-R-R-R-MPL,51,6
CT27009-57-R-R-R-MPL,52,6
Olimar,53,6
CT27020-42-R-R-R-MPL,54,4
CT26998-84-R-R-R-MPL,55,6
CT26995-122-R-R-R-MPL,56,7
CT26989-31-R-R-R-MPL,57,4
CT27047-57-R-R-R-MPL,58,6
CT26989-98-R-R-R-MPL,59,5
CT27038-36-R-R-R-MPL,60,7
CT27035-121-R-R-R-MPL,61,6
CT27048-31-R-R-R-MPL,62,6
CT27054-59-R-R-R-MPL,63,3
CT27038-131-R-R-R-MPL,64,5
CT26997-144-R-R-R-MPL,65,6
CT27017-40-R-R-R-MPL,66,6
CT27035-143-R-R-R-MPL,67,6
CT26998-52-R-R-R-MPL,68,2
CT27016-61-R-R-R-MPL,69,7
ORYZICA 1,70,5
CT27047-34-R-R-R-MPL,71,6
CT27050-108-R-R-R-MPL,72,5
CT27057-50-R-R-R-MPL,73,6
CT26997-59-R-R-R-MPL,74,6
CT27050-31-R-R-R-MPL,75,6
CT26991-75-R-R-R-MPL,76,6
SLF-10-203,77,2
CT27009-52-R-R-R-MPL,78,6
CT26995-99-R-R-R-MPL,79,6
CT26987-106-R-R-R-MPL,80,7
CT27015-52-R-R-R-MPL,81,6
CT27016-66-R-R-R-MPL,82,7
CT27050-92-R-R-R-MPL,83,4
CT26987-68-R-R-R-MPL,84,6
CT27050-37-R-R-R-MPL,85,5
SLF-10-243,86,5
CT26998-77-R-R-R-MPL,87,5
CT27009-62-R-R-R-MPL,88,7
CT26989-84-R-R-R-MPL,89,6
CT27020-33-R-R-R-MPL,90,6
CT26987-182-R-R-R-MPL,91,7
CT27048-74-R-R-R-MPL,92,7
CT27047-134-R-R-R-MPL,93,7
CT27020-72-R-R-R-MPL,94,6
CT26998-47-R-R-R-MPL,95,6
FEDEARROZ 2000,96,6
CT26997-94-R-R-R-MPL,97,6
CT26987-47-R-R-R-MPL,98,6
CT27016-63-R-R-R-MPL,99,6
CT27038-133-R-R-R-MPL,100,6
CT27048-68-R-R-R-MPL,101,6
CT27035-62-R-R-R-MPL,102,7
CT26987-164-R-R-R-MPL,103,6
CT27047-147-R-R-R-MPL,104,6
CT26997-116-R-R-R-MPL,105,4
CT27016-31-R-R-R-MPL,106,7
CT27054-39-R-R-R-MPL,107,6
CT26987-99-R-R-R-MPL,108,6
CT27038-47-R-R-R-MPL,109,6
CT27047-131-R-R-R-MPL,110,7
CT26987-37-R-R-R-MPL,111,7
CT27047-117-R-R-R-MPL,112,7
CT27031-116-R-R-R-MPL,113,7
CT27017-43-R-R-R-MPL,114,7
CT27015-119-R-R-R-MPL,115,7
CT27009-55-R-R-R-MPL,116,7
Olimar,117,6
Olimar,118,6
CT26987-138-R-R-R-MPL,119,7
CT26997-157-R-R-R-MPL,120,5
CT27038-52-R-R-R-MPL,121,7
CT26998-58-R-R-R-MPL,122,2
CT26991-73-R-R-R-MPL,123,6
CT27020-39-R-R-R-MPL,124,6
CT26989-38-R-R-R-MPL,125,5
CT27047-102-R-R-R-MPL,126,6
CT26997-156-R-R-R-MPL,127,6
CT27009-51-R-R-R-MPL,128,7
CT27038-81-R-R-R-MPL,129,6
CT26997-110-R-R-R-MPL,130,6
CT26987-31-R-R-R-MPL,131,6
CT26998-90-R-R-R-MPL,132,6
CT26987-163-R-R-R-MPL,133,6
CT26995-118-R-R-R-MPL,134,6
FEDEARROZ 2000,135,6
CT27035-32-R-R-R-MPL,136,6
CT26997-141-R-R-R-MPL,137,2
H 57 (IRGA R15-11-1-2),138,5
CT27047-155-R-R-R-MPL,139,6
CT27035-141-R-R-R-MPL,140,6
CT26995-79-R-R-R-MPL,141,7
CT27031-59-R-R-R-MPL,142,6
CT27015-70-R-R-R-MPL,143,7
CT27038-135-R-R-R-MPL,144,5
CT27009-97-R-R-R-MPL,145,6
CT26987-86-R-R-R-MPL,146,7
CT27015-115-R-R-R-MPL,147,7
CT27050-86-R-R-R-MPL,148,6
CT27031-83-R-R-R-MPL,149,6
CT26997-89-R-R-R-MPL,150,4
CT27031-100-R-R-R-MPL,151,6
CT26997-149-R-R-R-MPL,152,5
CT26991-43-R-R-R-MPL,153,5
CT27017-61-R-R-R-MPL,154,7
CT26991-35-R-R-R-MPL,155,4
CT27020-92-R-R-R-MPL,156,6
CT27031-87-R-R-R-MPL,157,6
CT27015-55-R-R-R-MPL,158,7
CT27050-114-R-R-R-MPL,159,5
CT27020-40-R-R-R-MPL,160,7
CT27016-82-R-R-R-MPL,161,7
CT27020-86-R-R-R-MPL,162,7
CT27016-101-R-R-R-MPL,163,7
CT27009-61-R-R-R-MPL,164,6
CT26987-94-R-R-R-MPL,165,7
CT27009-95-R-R-R-MPL,166,7
CT27031-78-R-R-R-MPL,167,6
CT27038-165-R-R-R-MPL,168,2
CT26997-36-R-R-R-MPL,169,6
CT27015-34-R-R-R-MPL,170,5
CT26991-63-R-R-R-MPL,171,6
CT27017-95-R-R-R-MPL,172,6
CT27020-58-R-R-R-MPL,173,6
CT27048-32-R-R-R-MPL,174,7
CT26997-122-R-R-R-MPL,175,6
CT27047-148-R-R-R-MPL,176,7
CT27035-152-R-R-R-MPL,177,7
CT27015-113-R-R-R-MPL,178,7
ORYZICA 1,179,6
CT26987-156-R-R-R-MPL,180,7
CT26998-92-R-R-R-MPL,181,7
CT27048-57-R-R-R-MPL,182,7
CT26987-39-R-R-R-MPL,183,7
CT26989-59-R-R-R-MPL,184,6
CT27038-130-R-R-R-MPL,185,5
CT27050-78-R-R-R-MPL,186,3
CT27017-85-R-R-R-MPL,187,7
CT27020-45-R-R-R-MPL,188,5
CT27016-77-R-R-R-MPL,189,7
CT26987-186-R-R-R-MPL,190,7
CT26989-61-R-R-R-MPL,191,6
ORYZICA 1,192,6
CT26997-123-R-R-R-MPL,193,4
CT27016-72-R-R-R-MPL,194,7
CT26997-152-R-R-R-MPL,195,7
CT27035-44-R-R-R-MPL,196,6
CT27047-125-R-R-R-MPL,197,7
CT27020-31-R-R-R-MPL,198,6
CT26997-41-R-R-R-MPL,199,7
CT26998-34-R-R-R-MPL,200,4
CT27054-60-R-R-R-MPL,201,6
CT27038-60-R-R-R-MPL,202,7
CT27035-155-R-R-R-MPL,203,7
CT27009-74-R-R-R-MPL,204,6
CT27031-48-R-R-R-MPL,205,6
CT26998-93-R-R-R-MPL,206,2
FEDEARROZ 2000,207,6
CT26987-139-R-R-R-MPL,208,7
CT27009-73-R-R-R-MPL,209,7
CT27048-44-R-R-R-MPL,210,7
CT26989-110-R-R-R-MPL,211,6
CT26997-66-R-R-R-MPL,212,6
CT26987-96-R-R-R-MPL,213,7
CT27015-49-R-R-R-MPL,214,7
CT26987-66-R-R-R-MPL,215,7
CT26997-134-R-R-R-MPL,216,6
CT27050-112-R-R-R-MPL,217,7
CT27035-92-R-R-R-MPL,218,7
CT26987-136-R-R-R-MPL,219,7
CT27020-84-R-R-R-MPL,220,7
CT27035-128-R-R-R-MPL,221,7
CT27015-103-R-R-R-MPL,222,7
CT27020-75-R-R-R-MPL,223,7
IRGA 5842-1-3-1-1-PL-4,224,5
CT26987-142-R-R-R-MPL,225,7
CT27050-126-R-R-R-MPL,226,7
CT26995-102-R-R-R-MPL,227,6
CT27035-51-R-R-R-MPL,228,7
CT27015-43-R-R-R-MPL,229,7
CT27017-49-R-R-R-MPL,230,5
CT26998-74-R-R-R-MPL,231,6
CT27047-45-R-R-R-MPL,232,7
CT27016-91-R-R-R-MPL,233,6
CT26987-89-R-R-R-MPL,234,6
CT26997-70-R-R-R-MPL,235,7
CT26989-117-R-R-R-MPL,236,6
Olimar,237,6
CT26987-162-R-R-R-MPL,238,7
CT27048-40-R-R-R-MPL,239,7
CT27038-75-R-R-R-MPL,240,6
CT27048-55-R-R-R-MPL,241,6
CT27038-56-R-R-R-MPL,242,6
CT26995-96-R-R-R-MPL,243,7
CT27009-90-R-R-R-MPL,244,7
FEDEARROZ 2000,245,6
